30000000, 28.84
35000000, 28.63
40000000, 28.52
45000000, 28.30
50000000, 28.24
55000000, 27.98
60000000, 27.76
65000000, 27.25
70000000, 26.79
75000000, 26.00
80000000, 25.65
85000000, 25.11
90000000, 24.84
95000000, 24.42
100000000, 24.09
105000000, 23.55
110000000, 23.14
115000000, 22.50
120000000, 22.19
125000000, 21.69
130000000, 21.56
135000000, 21.43
140000000, 21.55
145000000, 21.61
150000000, 21.83
155000000, 21.62
160000000, 21.28
165000000, 20.51
170000000, 19.58
175000000, 18.47
180000000, 17.66
185000000, 16.94
190000000, 16.47
195000000, 16.10
200000000, 16.27
210000000, 16.46
220000000, 17.03
230000000, 17.44
240000000, 17.73
250000000, 17.69
260000000, 17.58
270000000, 17.27
280000000, 17.53
290000000, 17.53
300000000, 17.88
325000000, 19.81
350000000, 19.76
375000000, 19.92
400000000, 21.15
425000000, 21.38
450000000, 21.70
475000000, 22.55
500000000, 22.94
525000000, 22.86
550000000, 23.91
575000000, 24.18
600000000, 24.24
625000000, 25.16
650000000, 25.59
675000000, 25.46
700000000, 26.46
725000000, 26.84
750000000, 26.81
775000000, 27.45
800000000, 28.04
825000000, 27.93
850000000, 28.58
875000000, 28.94
900000000, 28.93
925000000, 29.45
950000000, 30.09
975000000, 30.04
1000000000, 30.77
