30000000, 32.82
35000000, 32.23
40000000, 32.74
45000000, 31.40
50000000, 32.69
55000000, 30.99
60000000, 31.72
65000000, 29.93
70000000, 27.43
75000000, 27.32
80000000, 26.65
85000000, 25.97
90000000, 25.18
95000000, 25.30
100000000, 24.43
105000000, 24.79
110000000, 24.44
115000000, 24.39
120000000, 23.48
125000000, 23.00
130000000, 21.97
135000000, 21.14
140000000, 20.54
145000000, 19.86
150000000, 19.75
155000000, 19.41
160000000, 19.46
165000000, 19.29
170000000, 19.41
175000000, 18.78
180000000, 18.49
185000000, 17.87
190000000, 17.48
195000000, 16.83
200000000, 16.83
210000000, 16.98
220000000, 17.56
230000000, 17.73
240000000, 17.53
250000000, 17.19
260000000, 17.48
270000000, 18.12
280000000, 19.03
290000000, 19.08
300000000, 18.94
325000000, 19.74
350000000, 20.53
375000000, 20.80
400000000, 21.74
425000000, 21.73
450000000, 22.69
475000000, 22.67
500000000, 23.34
525000000, 23.51
550000000, 24.02
575000000, 24.50
600000000, 24.76
625000000, 25.55
650000000, 25.72
675000000, 26.52
700000000, 26.55
725000000, 27.28
750000000, 27.62
775000000, 28.08
800000000, 28.83
825000000, 28.74
850000000, 29.70
875000000, 29.45
900000000, 30.60
925000000, 30.53
950000000, 31.58
975000000, 31.86
1000000000, 32.22
